name,dual_cat,subarea,year_award,year_birth,age_award,gender,affiliation,affi_type,gov_position,highest_edu,highest_major,major_project,other_academician_title,bio_link
曹耀峰,N,能源与矿业工程管理,2013,1953,60,male,China Petrochemical Corporation,state-owned enterprise,副部级,master,mechanical design and theory,Natural Gas Transmission from Sichuan to East,,http://ysg.ckcest.cn/ysgDetails/baseInfo/3863/grxx_jbxx.html
柴洪峰,N,金融信息工程管理,2015,1957,58,male,National Engineering Laboratory on E-commerce and E-Payment,private enterprise,副厅级,master,international finance,,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=4994
陈晓红,N,能源与矿业工程管理,2017,1963,54,female,Hunan University of Commerce,university/research institute,正厅级,doctor,engineering management,,,http://ysg.ckcest.cn/ysgDetails/achievementStyle/8038/cjgx_fmzl.html
丁烈云,N,土木、水利与建筑工程管理,2015,1955,60,male,Huazhong University of Science & Technology,university/research institute,副部级,doctor,management science and engineering,,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=4955
范国滨,N,信息与电子工程管理,2017,1958,59,male,China Academy of Engineering Physics,university/research institute,not sure,doctor,mechanical manufacturing and automation,,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=8030
胡文瑞,N,能源与矿业工程管理,2011,1950,61,male,PetroChina,state-owned enterprise,not sure,unknown,oil production engineering,Ansai Oilfield,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=879
黄维和,N,能源与矿业工程管理,2013,1957,56,male,PetroChina,state-owned enterprise,not sure,master,management science and engineering,West-East Gas Transmission,,http://ysg.ckcest.cn/ysgDetails/achievementStyle/3862/cjgx_kjjx.html
金智新,N,能源与矿业工程管理,2015,1959,56,male,Shanxi Coking Coal Group,state-owned enterprise,正厅级,doctor,management science and engineering,Shuangxi Coal Field Asymmetric Development,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=5000
凌文,N,能源与矿业工程管理,2015,1963,52,male,Shenhua Group,state-owned enterprise,副部级,doctor,system engineering,,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=5041
刘德培,医药卫生学部,医学生物化学与分子生物学,1996,1950,46,male,Peking Union Medical College,university/research institute,not sure,doctor,biochemistry and molecular biology,,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=2088
刘合,N,能源与矿业工程管理,2017,1961,56,male,Research Institute of Petroleum Exploration and Development of PetroChina,state-owned enterprise,not sure,doctor,control theory and control engineering,Daqing Oilfield,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=8051
刘玠,信息与电子工程学部,计算机应用技术,1997,1943,54,male,Ansteel Group,state-owned enterprise,副部级,master,metallurgical machinery,,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=381
刘人怀,接卸与运载工程学部,精密仪器仪表技术,1999,1940,59,male,Jinan University,university/research institute,正厅级,unknown,mechanics,,,http://ysg.ckcest.cn/ysgDetails/baseInfo/123/grxx_zyxl.html
