year,name,gender,birth_year,expertise,employer,nature_of_employer,nominator
2005,王开华,male,1947,未知,中国核工业建设集团公司,state-owned enterprise,未知
2005,王天义,male,1947,未知,唐山钢铁集团有限责任公司,state-owned enterprise,未知
2005,王家诚,male,1940,未知,国家发展和改革委员会产业经济与技术经济研究所,gov department,未知
2005,王基铭,male,1942,未知,中国石油化工集团公司,state-owned enterprise,未知
2005,牛文元,male,1940,未知,中国科学院科技政策与管理科学研究所,university/research institute,未知
2005,艾永祥,male,1946,未知,北京建工集团有限责任公司,state-owned enterprise,未知
2005,史清琪(女),female,1938,未知,国家发展和改革委员会产业发展研究所,gov department,未知
2005,闪淳昌,male,1943,未知,国家安全生产监督管理总局,gov department,未知
2005,刘本仁,male,1943,未知,武汉钢铁（集团）公司,state-owned enterprise,未知
2005,刘希宋(女),female,1937,未知,哈尔滨工程大学,university/research institute,未知
2005,孙永福,male,1941,未知,铁道部,gov department,未知
2005,李泊溪(女),female,1936,未知,国务院发展研究中心发展战略和区域经济研究部,gov department,未知
2005,李默芳(女),female,1946,未知,中国移动通信集团公司,state-owned enterprise,未知
2005,杨善林,male,1949,未知,合肥工业大学,university/research institute,未知
2005,吴季松,male,1945,未知,水利部,gov department,未知
2005,邱菀华(女),female,1947,未知,北京航空航天大学,university/research institute,未知
2005,汪光焘,male,1943,未知,建设部,gov department,未知
2005,沙基昌,male,1946,未知,国防科技大学,university/research institute,未知
2005,沈荣骏,male,1937,未知,总装备部,military,未知
2005,张克荣,male,1937,未知,中国一航飞行试验研究院,university/research institute,未知
2005,张恒喜,male,1937,未知,空军工程大学,military,未知
2005,张培璋,male,1945,未知,上海华谊（集团）公司,state-owned enterprise,未知
2005,陈锡康,male,1936,未知,中国科学院数学与系统科学研究院,university/research institute,未知
2005,范如玉,male,1943,未知,中国核试验基地,military,未知
2005,金会庆,male,1957,未知,安徽三联事故预防研究所,private enterprise,未知
2005,周凤起,male,1937,未知,国家发展和改革委员会能源研究所,gov department,未知
2005,周宏仁,male,1941,未知,国家信息化专家咨询委员会,gov department,未知
2005,郑大昭,male,1957,未知,香港理工大学,university/research institute,未知
2005,胡世祥,male,1940,未知,总装备部,military,未知
2005,胡思继,male,1939,未知,北京交通大学,university/research institute,未知
2005,姚先成,male,1942,未知,中国海外集团有限公司,state-owned enterprise,未知
2005,贺恭,male,1943,未知,中国华电集团公司,state-owned enterprise,未知
2005,夏国洪,male,1940,未知,中国航天科工集团公司,state-owned enterprise,未知
2005,顾基发,male,1936,未知,中国科学院数学与系统科学研究院,university/research institute,未知
2005,徐祖信(女),female,1956,未知,上海市环境科学研究院,gov department,未知
2005,郭励弘,male,1946,未知,国务院发展研究中心技术经济研究部,gov department,未知
2005,席酉民,male,1957,未知,西安交通大学,university/research institute,未知
2005,黄春平,male,1938,未知,中国航天科技集团公司第一研究院,state-owned enterprise,未知
2005,梅方权,male,1939,未知,中国农业科学院农业信息研究所,university/research institute,未知
2005,彭启友,male,1940,未知,中国长江三峡工程开发总公司,state-owned enterprise,未知
2005,谢企华(女),female,1943,未知,上海宝钢集团公司,state-owned enterprise,未知
2005,花禄森,male,1941,未知,中国航天科工集团公司,state-owned enterprise,未知
2007,尹衍樑,male,1951,土木、水利与建筑工程管理,台湾润泰集团,private enterprise,院士提名
2007,王天义,male,1947,化工、冶金与材料工程管理,唐山钢铁集团有限责任公司,state-owned enterprise,省、市、自治区遴选
2007,王开华,male,1947,能源与矿业工程管理,中国核工业建设集团公司,state-owned enterprise,部委遴选
2007,王玉普,male,1957,能源与矿业工程管理,大庆油田有限责任公司,state-owned enterprise,部委遴选、中国科协遴选
2007,王寿君,male,1956,能源与矿业工程管理,中国核工业集团公司,state-owned enterprise,部委遴选
2007,王陇德,male,1947,医药卫生工程管理,卫生部,gov department,院士提名、部委遴选
2007,叶天竺,male,1941,能源与矿业工程管理,中国地质调查局发展研究中心,gov department,部委遴选
2007,刘正光,male,1943,土木、水利与建筑工程管理,"香港, 荗盛 ( 中国 ) 工程咨询公司",private enterprise,院士提名
2007,刘高倬,male,1943,机械与运载工程管理,中国航空工业第一集团公司,state-owned enterprise,部委遴选
2007,牟书令,male,1944,能源与矿业工程管理,中国石油化工集团公司,state-owned enterprise,院士提名、部委遴选
2007,许庆瑞,male,1930,机械与运载工程管理,浙江大学,university/research institute,院士提名
2007,张洪飚,male,1945,机械与运载工程管理,中国航空工业第二集团公司,state-owned enterprise,部委遴选
2007,李育材,male,1949,农业工程管理,国家林业局,gov department,部委遴选
2007,李默芳(女),female,1946,信息与电子工程管理,中国移动通信集团公司,state-owned enterprise,部委遴选、中国科协遴选
2007,杨善林,male,1949,信息与电子工程管理,合肥工业大学,university/research institute,部委遴选
2007,汪寿阳,male,1959,信息与电子工程管理,中国科学院数学与系统科学研究院,university/research institute,部委遴选
2007,沈树章,male,1949,信息与电子工程管理,通信指挥学院,military,部委遴选
2007,花禄森,male,1941,机械与运载工程管理,中国航天科工集团公司,state-owned enterprise,院士提名、部委遴选
2007,邱菀华(女),female,1947,机械与运载工程管理,北京航空航天大学,university/research institute,部委遴选
2007,季克良,male,1939,环境与轻纺工程管理,中国贵州茅台酒厂有限责任公司,state-owned enterprise,省、市、自治区遴选
2007,金会庆,male,1957,医药卫生工程管理,安徽三联事故预防研究所,private enterprise,省、市、自治区遴选
2007,胡思继,male,1939,机械与运载工程管理,北京交通大学,university/research institute,部委遴选
2007,赵晓哲,male,1964,信息与电子工程管理,海军大连舰艇学院,military,部委遴选
2007,席酉民,male,1957,能源与矿业工程管理,西安交通大学,university/research institute,部委遴选
2007,袁家军,male,1963,机械与运载工程管理,中国航天科技集团公司第五研究院,state-owned enterprise,院士提名、部委遴选、 中国科协遴选
2007,郭励弘,male,1946,能源与矿业工程管理,国务院发展研究中心技术经济研究部,gov department,部委遴选
2007,顾忠茂,male,1944,能源与矿业工程管理,中国原子能科学研究院,university/research institute,部委遴选
2007,梅方权,male,1939,农业工程管理,中国农业科学院农业信息研究所,university/research institute,部委遴选
2007,黄季焜,male,1963,农业工程管理,中国科学院地理科学与资源研究所,university/research institute,部委遴选
2007,黄春平,male,1938,机械与运载工程管理,中国航天科技集团公司第一研究院,state-owned enterprise,部委遴选
2007,彭启友,male,1940,土木、水利与建筑工程管理,中国长江三峡工程开发总公司,state-owned enterprise,部委遴选
2007,童建栋,male,1948,能源与矿业工程管理,国际小水电中心,gov department,部委遴选、中国科协遴选
2007,谢企华(女),female,1943,化工、冶金与材料工程管理,宝钢集团有限公司,state-owned enterprise,部委遴选、中国科协遴选
2007,颜宏,male,1944,环境与轻纺工程管理,中国气象局,gov department,部委遴选
2009,包起帆,male,1951,机械与运载工程管理,上海国际港务（集团）股份有限公司,state-owned enterprise,省、自治区、市遴选
2009,凤懋润,male,1942,土木、水利与建筑工程管理,中华人民共和国交通运输部,gov department,院士提名，部委遴选
2009,郭文叁,male,1956,化工、冶金与材料工程管理,安徽海螺集团有限责任公司,state-owned enterprise,省、自治区、市遴选
2009,韩贵清,male,1954,农业工程管理,黑龙江省农业科学院,university/research institute,省、自治区、市遴选
2009,何浩明,male,1948,化工、冶金与材料工程管理,瓮福（集团）有限责任公司（原贵州宏福实业开发有限总公司）,state-owned enterprise,省、自治区、市遴选
2009,胡文瑞,male,1950,能源与矿业工程管理,中国石油天然气集团公司,state-owned enterprise,院士提名，部委遴选，中国科协遴选
2009,花禄森,male,1941,机械与运载工程管理,中国航天科工集团公司科学技术委员会,state-owned enterprise,院士提名，部委遴选
2009,黄季焜,male,1963,农业工程管理,中国科学院地理科学与资源研究所，中国科学院农业政策研究中心,university/research institute,部委遴选
2009,黄以群,male,1954,信息与电子工程管理,上海证券通信有限责任公司,state-owned enterprise,部委遴选
2009,李善同（女）,female,1945,土木、水利与建筑工程管理,国务院发展研究中心 ,gov department,部委遴选
2009,刘正光,male,1943,土木、水利与建筑工程管理,茂盛(亚洲)工程顾问有限公司,private enterprise,院士提名
2009,栾恩杰,male,1941,信息与电子工程管理,国家国防科技工业局,gov department,部委遴选
2009,彭启友,male,1940,土木、水利与建筑工程管理,中国长江三峡工程开发总公司,state-owned enterprise,部委遴选
2009,屈贤明,male,1940,机械与运载工程管理,机械科学研究总院,university/research institute,部委遴选，中国科协遴选
2009,闪淳昌,male,1943,能源与矿业工程管理,国家安全生产监督管理总局,gov department,部委遴选
2009,童建栋,male,1948,能源与矿业工程管理,国际小水电中心,gov department,部委遴选
2009,王安,male,1959,能源与矿业工程管理,中国中煤能源集团公司,state-owned enterprise,院士提名，部委遴选
2009,王浣尘,male,1934,信息与电子工程管理,上海交通大学,university/research institute,院士提名
2009,王陇德,male,1947,医药卫生工程管理,中华预防医学会,university/research institute,院士提名
2009,王天义,male,1947,化工、冶金与材料工程管理,河北钢铁集团,state-owned enterprise,省、自治区、市遴选
2009,王伍仁,male,1953,土木、水利与建筑工程管理,中国建筑股份有限公司,state-owned enterprise,部委遴选
2009,席酉民,male,1957,能源与矿业工程管理,西安交通大学,university/research institute,部委遴选
2009,夏国洪,male,1940,信息与电子工程管理,中国航天科工集团公司,state-owned enterprise,院士提名
2009,许善达,male,1948,信息与电子工程管理,国家税务总局,gov department,部委遴选
2009,杨善林,male,1949,信息与电子工程管理,合肥工业大学,university/research institute,院士提名，部委遴选
2009,叶天竺,male,1941,能源与矿业工程管理,中国地质调查局发展研究中心,gov department,部委遴选
2009,袁家军,male,1963,机械与运载工程管理,中国航天科技集团公司,state-owned enterprise,部委遴选，中国科协遴选
2009,张洪飚,male,1945,机械与运载工程管理,中国航空工业集团公司,state-owned enterprise,部委遴选
2009,张基尧,male,1945,土木、水利与建筑工程管理,国务院南水北调工程建设委员会办公室,gov department,院士提名，部委遴选
2009,赵晓哲,male,1964,信息与电子工程管理,海军大连舰艇学院,military,部委遴选
2009,郑健,male,1962,土木、水利与建筑工程管理,铁道部，铁道部工程设计鉴定中心（铁道部经济规划研究院）,gov department,部委遴选
2009,周宏仁,male,1941,信息与电子工程管理,国家信息化专家咨询委员会,gov department,院士提名
2009,朱道立,male,1946,机械与运载工程管理,复旦大学,university/research institute,部委遴选，中国科协遴选
2011,曹耀峰,male,1954,能源与矿业工程管理,中国石油化工集团公司,state-owned enterprise,院士提名，部委遴选
2011,范如玉,male,1943,能源与矿业工程管理,解放军第二十一试验训练基地,military,部委遴选
2011,凤懋润,male,1942,土木、水利与建筑工程管理,交通运输部,gov department,院士提名，部委遴选，中国科协遴选
2011,傅成玉,male,1951,能源与矿业工程管理,现中国石油化工集团公司（原中国海洋石油总公司）,state-owned enterprise,院士提名，部委遴选
2011,郭文叁,male,1956,化工、冶金与材料工程管理,安徽海螺集团有限责任公司,state-owned enterprise,省、市、自治区遴选
2011,韩贵清,male,1954,农业工程管理,黑龙江省农业科学院,university/research institute,省、市、自治区遴选
2011,何浩明,male,1948,化工、冶金与材料工程管理,瓮福（集团）有限责任公司,state-owned enterprise,省、市、自治区遴选
2011,何建坤,male,1946,能源与矿业工程管理,清华大学核能与新能源技术研究院,university/research institute,部委遴选
2011,胡思继,male,1939,机械与运载工程管理,北京交通大学综合运输研究所,university/research institute,院士提名
2011,胡文瑞,male,1950,能源与矿业工程管理,中国石油天然气集团公司,state-owned enterprise,院士提名，部委遴选
2011,胡晓峰,male,1957,信息与电子工程管理,国防大学,university/research institute,部委遴选
2011,黄季焜,male,1963,农业工程管理,中国科学院地理科学与资源研究所,university/research institute,部委遴选
2011,黄维和,male,1958,能源与矿业工程管理,中国石油天然气股份有限公司,state-owned enterprise,部委遴选
2011,金智新,male,1960,能源与矿业工程管理,山西焦煤集团有限责任公司,state-owned enterprise,省、市、自治区遴选
2011,孔平,male,1957,化工、冶金与材料工程管理,河北钢铁集团有限公司,state-owned enterprise,省、市、自治区遴选
2011,李浩,male,1956,能源与矿业工程管理,国投新疆罗布泊钾盐有限责任公司,state-owned enterprise,部委遴选
2011,李善同（女）,female,1945,土木、水利与建筑工程管理,国务院发展研究中心,gov department,部委遴选
2011,林茂光,male,1949,土木、水利与建筑工程管理,广州军区空军工程建设局,military,部委遴选
2011,林宗坚,male,1943,土木、水利与建筑工程管理,中国测绘科学研究院,university/research institute,部委遴选
2011,刘正光,male,1943,土木、水利与建筑工程管理,艾奕康有限公司 AECOM,private enterprise,院士提名
2011,马庆国,male,1946,机械与运载工程管理,浙江大学,university/research institute,中国科协遴选
2011,彭寿,male,1961,化工、冶金与材料工程管理,安徽省薄膜太阳能电池工程技术研究中心,state-owned enterprise,省、市、自治区遴选
2011,邱菀华（女）,female,1947,机械与运载工程管理,北京航空航天大学,university/research institute,院士提名，部委遴选
2011,闪淳昌,male,1943,能源与矿业工程管理,国家安全生产监督管理总局,gov department,部委遴选
2011,沈晓明,male,1963,医药卫生工程管理,上海市人民政府、上海交通大学医学院附属新华医院,university/research institute,院士提名
2011,汪寿阳,male,1959,信息与电子工程管理,中国科学院数学与系统科学研究院,university/research institute,部委遴选
2011,王俭,male,1961,能源与矿业工程管理,神华宁夏煤业集团有限责任公司,state-owned enterprise,省、市、自治区遴选
2011,王信,male,1958,能源与矿业工程管理,兖矿集团有限公司,state-owned enterprise,省、市、自治区遴选
2011,王安建,male,1953,能源与矿业工程管理,中国地质科学院全球矿产资源战略研究中心,university/research institute,部委遴选
2011,吴季松,male,1945,环境与轻纺工程管理,北京航空航天大学中国循环经济研究中心,university/research institute,院士提名，中国科协遴选
2011,吴启迪（女）,female,1948,信息与电子工程管理,同济大学,university/research institute,院士提名
2011,于康震,male,1960,农业工程管理,农业部,gov department,部委遴选
2011,袁家军,male,1963,机械与运载工程管理,中国航天科技集团公司,state-owned enterprise,部委遴选
2011,翟虎渠,male,1951,农业工程管理,中国农业科学院,university/research institute,部委遴选
2011,张积耀,male,1954,化工、冶金与材料工程管理,陕西延长石油（集团）有限责任公司,state-owned enterprise,省、市、自治区遴选
